epoch,loss,lr,mae,time,val_loss,val_mae
0,0.34640634,0.001,0.49954903,37.33323121070862,0.52983445,0.71297044
1,0.3227844,0.00084375,0.48694214,15.375255346298218,0.521252,0.70415854
2,0.31700388,0.0006875,0.48210153,15.480667352676392,0.51459765,0.7009618
3,0.3048421,0.00053125,0.47140145,15.123292207717896,0.5156979,0.7004275
4,0.29102102,0.000375,0.45887387,15.11988353729248,0.5158091,0.7013419
5,0.27627707,0.000375,0.44303295,14.828428268432617,0.5199348,0.70401305
6,0.26584443,0.000375,0.43519083,14.874277114868164,0.5220109,0.7084872
7,0.25706807,0.000375,0.42601332,14.605144500732422,0.50881684,0.6892712
8,0.25263178,0.000375,0.42037335,14.687172412872314,0.5225598,0.7025056
9,0.24840915,0.000375,0.41889977,14.635596990585327,0.5078996,0.70198625
10,0.24808168,0.000375,0.418306,14.966655731201172,0.52740365,0.71252793
11,0.24117453,0.000375,0.41192934,14.856384038925171,0.51721454,0.70224357
12,0.23823804,0.000375,0.40908074,14.644172191619873,0.54520875,0.71506834
13,0.23267512,0.000375,0.40514788,14.772028923034668,0.53457624,0.71599174
14,0.23028927,0.000375,0.4028575,14.674202680587769,0.51138765,0.70137674
15,0.22786386,0.000375,0.40142143,14.653022050857544,0.5232298,0.7065614
